ID,Subject,Disposition,Date,Companion ref
L-118,"Walter Rye, 'The Gurneys of Norwich' essay","Duplicative: essay already held in full — sourceId rye-norfolk-antiquarian, OCR extract sources/corpus/norfolk-antiquarian-gurneys-of-norwich.md (cited in the G14 companion + francis-gurney-of-maldon.md + case file). Lead was stale; the DGS 004389182 deeds-calendar sweep remains separately as L-119.",2026-06-14,sources/corpus/norfolk-antiquarian-gurneys-of-norwich.md
L-20,"John Gurney (emigrant)","Done 2026-06-17: Suffolk Probate #338 fully transcribed at image level (paleography packet 25) — inventory £55 14s 6d, debts £37 12s, appraisers Belcher/Quincy/Faxon; NO kin named (widow appears only as a creditor, no Grizell/children, no relationship statement); the relationship prize is a confirmed NEGATIVE. Full extract in sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md.",2026-06-17,research/people/g13-john-gurney-fact-sheet.research.md
L-35,"Robert Gournay","Resolved-negative; Rye Short Calendar Pt II no.64 read (Robert Gurnay of Parva Cressingham v. Edward Howard, no parentage; residence argues against the G22 id).",2026-06-17,research/people/g22-robert-gournay-fact-sheet.research.md
L-15,"Edmund Gurney the Divine","Done; ACAD/Venn entry retrieved (Edmund the Divine, son of Henry of West Barsham; R. Harpley 1620-48); on edmund-divine companion.",2026-06-17,research/people/edmund-gurney-divine.research.md
L-78,"Sir John Gurney V — Berney-side network",Done; HoP Berney bio captured (John Gurney V = Berney's 1399 co-shire-knight & Erpingham co-trustee); sourceId hop-berney; on G22 companion.,2026-06-17,research/people/g22-robert-gournay-fact-sheet.research.md
L-27,"Anthony Gurney",Done; L&P Hen VIII vol.21 pt2 no.697 (Anthony Gurney first-named on 1547 Norfolk grand jury vs Surrey); on G17 companion.,2026-06-17,research/people/g17-anthony-gurney-fact-sheet.research.md
L-79,"Erpingham Norfolk affinity (network root + Gunton error)",Resolved; Gunton 'deputy at Dover 1400' = Sir Robert Berney not Gurney (HoP Berney bio); on G22 companion.,2026-06-17,research/people/g22-robert-gournay-fact-sheet.research.md
L-82,"Gournay soldiers — Gascon Rolls calendar",Done; Gascon Rolls calendared (32 entries/17 C61 rolls); Norfolk signal John Gournay 1394 Harpley attorney; promoted to soldier-database topic v98.,2026-06-17,research/topics/gurney-medieval-soldier-database.md
L-132,"Mirabella Ryvett marriage conflict (published-claim correction)",Resolved: corrected the Myrable Ryvett marriage across the G14 fact sheet and John Gurney and Rivett research files.,2026-06-18,sources/corpus_supplement/ryvett-suffolk-visitation-pedigrees-metcalfe.md
L-13,"John Gurney (emigrant) — East Dereham register Entry E (paleo)",Completed: Entry E was image- and paleography-reviewed; probable Francis Gurney reading documented.,2026-06-18,research/case-files/john-gurney-case-file-v4.md
L-105,"Norfolk/Norwich Court Records 1659-1699 — Gurney sweep","Completed: 1659-1699 Norwich court film swept; useful sightings documented, remaining image reads optional.",2026-06-18,research/people/g13-john-gurney-fact-sheet.research.md
L-106,"Earsham will 1638 — probate clause and Lyon Gurney trace",Completed: 1638 Earsham will and probate clause read; remaining Syon family work retained under L-109.,2026-06-18,research/people/john-gurney-earsham-will-1638.md
L-111,"Norwich wills register series — systematic Gurney sweep by register year",Completed: NCC register map and target-year Gurney sweeps documented; residual pulls tracked as specific leads.,2026-06-18,research/people/g13-john-gurney-fact-sheet.research.md
L-125,"Clement Gurney, Gent (NCC 1631-32)","Consolidated into L-138, which carries the same Clement Gurney bond and full-will identification task.",2026-06-18,research/people/g13-john-gurney-fact-sheet.research.md
L-126,"John Gurney of Langley (1634)",Completed: image confirms John Gurney householder near Langley in 1634; no further Gurney detail found.,2026-06-18,research/people/g13-john-gurney-fact-sheet.research.md
L-137,"Edward Gurney (John's brother, son of Francis, bp. East Dereham) — sibling tracer",Completed negative: indexed Norfolk parish searches and the Yarmouth candidate produced no adult trail for Edward.,2026-06-18,research/people/g13-john-gurney-fact-sheet.research.md
L-134,"Newton Flotman Blundeville monument — Constance Gurney + date conflict",Resolved — Blomefield Newton Flotman monument: Constance Gurney m. Ralph Blundeville d.1514 aet.45; Gurnay impalements; corrects 1541/Robert; dates G19 c.1440-90. Corpus supplement + v102 patchset.,2026-06-18,sources/corpus_supplement/rye-visitacion-norffolk-1891-gurney-selected-pages.md
L-28,"William Gurney IV",Resolved — Paston 'Wm Gurney of Tharston' = G19 (Davis: escheator Norfolk & Suffolk 1465-6 = Acle 1466 Paston IPM; Duke of Norfolk retainer). v102 patchset.,2026-06-18,research/people/g19-william-gurney-iv-fact-sheet.research.md
L-99,"Suffolk MA deeds 1678-83 — John & Elizabeth Gourney",Resolved — 1678-83 Suffolk deeds G-surname = distinct Dorchester Gurnell family; 'Elizabeth Gourney 343' = FS index artifact; direct line absent. Corpus supplement + v102 patchset.,2026-06-18,research/people/g12-richard-gurney-fact-sheet.research.md
L-148,"Robert Gvrney + Mary, Norwich 1622 — household check",Resolved — Robert Gvrney m. Mary Lame 27 Jul 1622 Norwich; children Samuel 1623 / Katherine 1639; comparator (not a candidate). v103 patchset.,2026-06-18,research/people/g13-john-gurney-fact-sheet.research.md
L-38,"Edmund Gournay","Resolved: 1385 Walsingham/Riburgh patent (8 Ric II, Pat. p.2 m.15) already held on g23 companion; Edmund is one of 5 co-feoffees conveying the manors for a Felton soul-grant (VCH Norf II), NOT named with wife/father. Kin (Katherine de Wauncy, son John G24) come from his 1387 will, not the patent.",2026-06-19,sources/intake/done/v54-g24-g37-non-dg-corroborations.patchset.md
L-16,"John Gurney (emigrant) — St Ann Blackfriars 1615 baptism (F/P)","Resolved: FS index JW7Y-C3B (sourceId fs-jw7y-c3b) gives the St Ann Blackfriars 1615 father as 'Wm.' (William) - neither F nor P; a William Gurney's child, not the Francis/Peter line. Packet 30 staging entry moot.",2026-06-20,research/people/g13-john-gurney-fact-sheet.research.md
L-5,"John Gurney (emigrant) — Spelman MS Gurney pedigree","Resolved 2026-06-20: Spelman-circle Gurney pedigree LOCATED & extant - HMC 12th Rep App IX (Beaufort/Donoughmore) p.161 = J.H. Gurney of Keswick MS 122(16) pp.1-124 (Bardolf/Calthrop/Gurney/Spelman, with arms; Spelman wills 1485-1641); now NRO Gurney-of-Keswick deposit. corpus_supplement/gurney-of-keswick-spelman-pedigree-hmc-1891.md; patchset v108. Reading the pedigree generations = new lead.",2026-06-20,research/people/g13-john-gurney-fact-sheet.research.md
L-155,"ROLLCO non-Drapers livery Gurneys + Weston Turville (Bucks) tailoring family","Resolved 2026-06-20: ROLLCO non-Drapers Gurneys do not tie to emigrant. Only provincial tailoring-Gurney = Thomas tailor of Weston Turville Bucks (son Francis, Clothworkers 1622) - eliminated Candidate-A region; no East-Anglian Gurney livery apprentice. Reinforces informal/country training. corpus_supplement/rollco-other-companies-gurney-1573-1653.md.",2026-06-20,research/people/g13-john-gurney-fact-sheet.research.md
L-156,"Spelman Gurney pedigree generations (MS 122/16)","Duplicate of L-85 (Keswick Gurney MSS / HMC p.116) - merged into L-85, which now carries the MS 122(16) location and the read-generations next step.",2026-06-20,research/people/g13-john-gurney-fact-sheet.research.md
L-8,"Francis Gurnay","Resolved negative: no surviving Francis G14 probate found across PCC, London Commissary, London Archdeaconry, or Norwich NCC/ANW; findings are recorded in the G13 companion.",2026-06-22,research/people/g13-john-gurney-fact-sheet.research.md
L-168,"John Gurney, bachelor of Maldon (d.1681) - Francis G14 sibling-set test","Duplicate of L-14 (John Gurney of Maldon, 1681 Commissary admin) — online routes (FMP Essex Wills Beneficiaries Index 1675-1858; Essex Archives Online/Seax) merged into L-14.",2026-06-22,research/people/francis-gurney-of-maldon.md
L-161,"Wife Mary (G13) - Peter Wales of Great Dunham candidate","Rejected 2026-06-23: Great Dunham image confirms Mary Wallis/Wales married George Hill 7 Aug 1628; Bawdeswell-indexed Ann/Peter records belong to Shimpling, not Bawdeswell; G13 companion updated.",2026-06-23,research/people/g13-john-gurney-fact-sheet.research.md
L-175,"William Gurney IV of West Barsham (G19) - Townshend feoffee trust network","2026-07-11 (W2): Promoted to G19 + G18 companions and corpus_supplement. Elder/younger resolved (Wynter IPM 'William Gurnay the younger' = G18 acting alongside G19); wider CIPM Hen VII feoffee circuit (Townshend, Wynter, Geddyng/Drury 1490, Tendale, Fortescue/Calthorpe) written up, ~15 dated acts c.1488-1502. No online residual.",2026-07-11,sources/corpus_supplement/bho-ipm-henry-vii-townshend-gurnay-feoffee.md
L-54,"Hugh de Gournay I","Philippide Gournay verses located in Delaborde vol.2 book VI (lines 210-262), transcribed to corpus_supplement and promoted to research/topics/gournay-tower-la-tour-hue.md §2; DG-I 'lib. xi' locator corrected to book VI",2026-07-12,research/topics/gournay-tower-la-tour-hue.md
L-48,"Walter de Gournay","Resolved: Beugnot vol 1 p. 85 verified directly (IA scan; entry XXII, Pentecost parlement 1259, 'terminata in scacario'); DG transcription confirmed; extract in corpus_supplement/les-olim-beugnot-tome1-p85-montigny-verification.md",2026-07-15,research/people/g31-walter-de-gournay-fact-sheet.research.md
L-207,"Walter de Gournay","Resolved: Jenkins pp. 70-75 texts obtained via DEEDS db (docs 00130071/00130070/00130072); Walter signs 'Waltero de Gurnay' 1150, bench headed by Theobald of Canterbury; William attestation + Galiena II quitclaim recovered; extract in corpus_supplement/missenden-cartulary-dammartin-charters-deeds-transcripts.md",2026-07-15,research/people/g31-walter-de-gournay-fact-sheet.research.md
L-213,"Walter de Gournay","Resolved: Gervers p. 216 charter obtained via DEEDS doc 00880374 (BL Cotton Nero E VI f.339r, c. 1170): 'ego Galiena de Gurnay' grants Hospitallers land at Norton for her and Manasser de Dammartin's souls; extract in corpus_supplement/gervers-st-john-galiena-de-gurnay-norton-charter.md",2026-07-15,research/people/g31-walter-de-gournay-fact-sheet.research.md
L-43,"John de Gournay III",Sourcing route resolved: DG Note 115 record = CIPM vii.243 (Thomas Bardolf IPM); assimilated into g25 companion + hardingham. Rector-John-vs-G25 identity ambiguity remains open but is carried in the g25 companion.,2026-07-15,research/places/england-landholding-catalog-gap-findings-g18-g31.md
L-30,"Thomas Gournay II","Both NCC objects captured+expert-read: Aleyn-19 admon (5 Aug 1454, widow Alice) + Jekkys-211 will complex (probate 27 Jul 1471). Assimilated to G20 companion, corpus_supplement, place files; fact-sheet note in v126 patchset; final-edition residuals = L-235.",2026-07-17,research/people/g20-thomas-gournay-ii-fact-sheet.research.md
L-122,"Calthorpe 1494 & Lestrange 1505 — recover the Gurney's forename","Calthorpe son-in-law forename image-confirmed WILLIAM (PROB 11/10 Vox fo.23: 'my son William Gurney', executor; probate 23 May 1495). Written up on heraldry topic; source pcc-prob11-10-vox-calthorpe-1495; identity as G19 (Anne Calthorpe evidence) unchanged.",2026-07-17,research/topics/gurney-heraldry-and-pedigree-evidence-g17-g28.md
L-130,"Richard Ryvett of Gressenhall","Resolved: Gressenhall child set 1602-1611/12 at image-backed index level (Ancestry 61045); origin = Richard Rivet bp 30 Nov 1575 Garveston s. Robert, image+expert confirmed (packet 50). Residuals (Faith's burial; two-Richards) on companion.",2026-07-17,research/people/rivett-family-of-garveston.md
L-232,"Hugh de Gournay II/III ducal-era attestations","Closed 2026-07-17: DEEDS/SCRIPTA sweep + 11 charters verbatim promoted (G32-G34 companions, senior-line topic, lessingham/fordham/harpley, corpus_supplement deeds-utoronto-gournay-charter-extracts.md). Residuals deliberately unpursued (diminishing returns): SCRIPTA sc_ cross-checks; 06081055 Avranches 1037x1048 pull; 05560028/29 King John 1203 originals.",2026-07-17,research/people/g33-hugh-de-gournay-iii-fact-sheet.research.md
L-129,"Francis Rivet of Garveston — full child set + wife",Register/probate routes exhausted; wife = Eliz Podmer (index); bounded 61045 probes confirm the 1584 marriage is invisible to that index; the 1584-leaf pull + Grigson checks fold into L-242/L-128.,2026-07-19,research/people/rivett-family-of-garveston.md
L-135,"Anne Browning (G14's 2nd wife) — family origin + John-upbringing alternative",Browning-probate route closed-negative (1694 Browning + 1680 Jermyn wills name no Gurney kin); the marriage itself already documented via Bernau; no further online route.,2026-07-19,research/people/g14-francis-gurney-fact-sheet.research.md
L-157,"Ann Gurney x John Gilman - kinship & fostering",1626 Gilman marriage refutes a Margaret-Rybett daughter; compiled Gilman genealogies name no father; retained as low-confidence trade/network comparator only (assimilated into G13 graph migration topic).,2026-07-19,sources/intake/new/g13-gilman-diligent-immigration-by-association-discovery-2026-06-25.md
L-174,"Gurney family footprint in BHO non-Blomefield series (full-text variant sweep)","BHO sweep complete: Dec-1602 Cecil entry located + already captured (corpus_supplement, URL anchored on Edmund companion); L&P/State-Papers direct-line sweep negative beyond Blomefield; medieval residue held.",2026-07-19,sources/validations/cal-cecil-papers-hatfield.md
L-184,"John Gurney immigration by association - Porter identity","Deprioritized: Porter identity refines a comparator ring, not origin evidence; reopen only if Hingham-vs-Weymouth/Hull comparator work resumes.",2026-07-19,research/topics/g13-john-gurney-immigration-by-association.md
L-237,"Early Records of Providence vol. 14 and series Gurney/Gurnney sweep",Promoted: John Gurney rated at Providence Jan 1697/8 + Oct 1705 (vol 17) onto the Providence companion with printed locators; 19/21 vols swept otherwise negative; vols 14/20 (deed transcripts) deprioritized.,2026-07-19,research/people/john-and-sarah-gurney-providence-rhode-island.md
L-238,"Whinburgh-with-Members court rolls 1595-1663 - Rivet/Gurney tenancy walk",Superseded: film structure mapped; Elizabethan book walked negative (packet 52); 1604-26 window unfilmed (NRO-only); filmed 1627-1663 walk continues as L-253.,2026-07-19,research/people/rivett-family-of-garveston.md
L-243,"Podmer variant probate sweep - p?tm*r / patm* in the Norfolk index",Complete: variant probate re-sweep hard-negative; sole 1580-1660 candidate Roger Petman (admon 1617) resolved to North Walsham - not a Rivett/Podmer bridge.,2026-07-19,research/people/rivett-family-of-garveston.md
L-245,"Rivett name-switch residuals: alias probe, Norwich apprentices, Yarmouth 1653 Edward",Complete: alias FTS negative; Rye 1317-1603 no Rivett freeman; NFRO pre-1714 not loaded; FMP Edward-only check negative (earliest 1725; Yarmouth gap caveat). Residues continue as L-254 (apprentice calendars) + L-255 (William Rivett E Dereham).,2026-07-19,research/people/rivett-family-of-garveston.md
L-266,"East Dereham PD 86/41 pre-1610 membranes","Done: only four annual returns survive before 1610 (1593-4, 1595-6, 1601, 1608-9) and twelve are missing between 1594 and 1608, including 1602-3, the year Margery Gurney's will was proved. No Gurney-variant entry in any surviving pre-1610 return; 1601 is a weak negative (faded and soiled).",2026-07-30,research/people/g13-john-gurney/topics/identity/32-norfolk-parentage.md
L-267,"Great Berkhampstead burial register - missing series or a departure?","Done: neither. The series survives and holds sixteen Gurney-variant burials 1579-1643, five of them November 1637 to March 1638/9. The zero came from a surname stem that does not reach the Gourney spelling and a place token that differs between the county's baptism and burial sets. The departure-shaped gap does not exist; C(ii) fell from 9% to 4%.",2026-07-30,research/people/g13-john-gurney/topics/identity/33-berkhamsted-candidates.md
L-268,"The three households the March 2026 children matrix held and the July sweeps missed","Done: two close, one downgraded. Bishop's Cleeve is a settled Cotswold Garne lineage baptising in the parish 1629-1714, which also retires Compton Abdale. Earsham closes on a wife indexed Alex or Elizabeth Singler, not Mary, plus the 1639 will. Upton upon Severn is downgraded and its 1620s-1640s rows are respun as a new lead.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-269,"The Sussex John Gurney and Mary household","Closed negative: the records open as christenings at Horsham, Sussex - Elizabeth 11 June 1702 and Grace 5 August 1704. Seventy years too late. The lead existed only because FamilySearch's date range does not bind on role rows.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-270,"Resume the FindMyPast parent-name sweep from 1627","Done: the enumeration is complete for 1615-1649, 598 rows, every year sliced individually. In the 1626-1636 band it returns 149 rows, 68 with a Gurney-cluster surname, and every one belongs to a household already carried. Exactly one unaccounted-for colonial-name child to a father John: Mary Gurny, Hitcham, 22 January 1631.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-271,"Sweep Dorset and Somerset for Gurney households","Done and empty of shape-matches. Somerset two baptisms, Dorset two, both Gurnard at Owermoigne seven miles from Weymouth Dorset. That household runs fathers Martin, Nicholas and Robert across 1574-1625 with no John and no colonial-name child. The West Country corridor is closed on record.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-272,"Run the birth and marriage axes on county sets, not the cross-collection pool","Done and empty. Eight county sets swept against six surname stems, 705 rows captured, 68 in 1615-1650 with a father named. No father-John household with a mother Mary or Margaret in any set at any date that the national pool had not already seen. The 'not yet searched' row fell from 9% to 5%; the residue is listable and is carried as three new leads.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-273,"Audit every negative that combined a year bound with a place keyword","Done: audit executed 30 July 2026 across every recorded query string in the repository. Exactly two single-dataset queries combine the two parameters and both were already recorded as void. No live negative in the repository is void on this defect. Residual named, not closed: negatives stated in prose without a recorded query cannot be audited this way.",2026-07-30,research/people/g13-john-gurney/topics/identity/39-child-inventory-method.md
L-274,"Did Sarah, the supposed eldest colonial child, exist?","Largely closed: Sarah is the only member of the household with no document attesting she lived, and Torrey's compendium of New England marriages before 1700 carries no Sarah Gurney. Carry her as doubtful. The naming inference never depended on her - the custom counts son-slots and daughter-slots separately, so a daughter cannot displace Richard from the eldest-son position.",2026-07-30,research/people/g13-john-gurney/topics/identity/37-identity-assessment.md
L-275,"James Ludham's baptism at Little Plumstead, Norfolk","Largely closed and the Norfolk reading withdrawn. It rested on matching an unsourced tree claim to a household found at the parish that tree names. The better-grounded secondary account puts Ludden in Dorsetshire, and that claim is also unsourced. What is documented leans West Country. No James Ludd/Luddam/Ludham baptism exists in England 1588-1628 against a passing 354-row control. Net: Ludden gives no support to the Norfolk corridor.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-276,"Finish the FreeREG arm","Largely done: twenty surname spellings across baptisms, marriages and burials, all counties, 1600-1660 - sixty queries, 585 records captured with parents. No record has both a father John and a mother Mary (38 father-John rows, 31 mother-Mary rows, nil intersection). Four father-John households new to the file. Residue: the family-members parent-axis checkbox, and FreeREG's parish coverage excludes Hitcham and Great Berkhamsted.",2026-07-30,research/people/g13-john-gurney/topics/identity/36-other-eliminations.md
L-277,"Finish the per-child sweep on the cross-collection instrument, wildcarded","Part done and superseded by the completed parent-axis enumeration. Every named hit's father is read: Mary 17, Richard 9, John 27, Peter 0, Isaac 0, with blocking fathers Robert, William, Isaac, Thomas and Richard, none a plausible misreading of John. The remaining instrument work is respun as the wildcarded four-instrument re-run.",2026-07-30,research/people/g13-john-gurney/topics/identity/39-child-inventory-method.md
L-278,"Split Candidate C into C(i) and C(ii) and work C(ii)","Part done: the split stands and C(ii) is assessed at 4%. Mary is absent at parish level, not household level - no Mary Gurney baptism at Berkhamsted under any spelling or father, 1544-1888. No John Gurney marriage anywhere in Hertfordshire 1600-1654. The parish held four contemporaneous Gurney households, so the two-man reading came from a filtered query. Residue: the elder John's will in ASA/AR/8.",2026-07-30,research/people/g13-john-gurney/topics/identity/33-berkhamsted-candidates.md
L-279,"Resolve the undated, unplaced Buckinghamshire John Gurney","Worked and converted: the record is defective at source and cannot be placed from the index. The transcript reads baptism date '11 Jul ?', baptism year as the register's own 1575-1813 range, place blank, archive reference a bare D/A/T. Converted to a catalogue question and carried as a separate lead.",2026-07-30,research/people/g13-john-gurney/topics/identity/31-candidate-a-aylesbury.md
L-280,"Resolve the Berkhampstead / St Peter St Albans parish split","Closed as an error of reading: St Peter's is Berkhamsted's own parish church, so the two providers name the same place and there is no discrepancy. The consequence - which archdeaconry actually held Berkhamsted - is respun as a separate lead.",2026-07-30,research/people/g13-john-gurney/topics/identity/33-berkhamsted-candidates.md
L-208,"Walter de Gournay","Power fully reviewed: valuable senior Gournay, place, and frontier synthesis; no Walter, Montigny, or junior-branch parage evidence. Findings promoted in source extract and research patchset v127.",2026-07-31,research/people/g31-walter-de-gournay-fact-sheet.research.md
