dump_file,finding_id,finding_heading,destination_type,destination_path,disposition,source_registration_required,research_item_ids,source_ids,lead_action,lead_ids,notes
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R3,"Dorchester resolved: ""Goodman Gurney of Dorchester"" = GURNELL family; ""Jane Gurnet"" = Jane Gornell",topic,research/topics/gurney-false-friends-registry.md; g13-family-colonial-collaterals,assimilated,yes,G13-RI-000142;G13-RI-000143;G13-RI-000144,boston-record-commissioners-fourth-report-1880;records-first-church-dorchester-1891;nehgr-13-abstracts-of-early-wills-1859;suffolk-county-court-records-1671-1680-csm-29-30,,,"PARTIAL, assimilated 2026-07-10: the g13-family-colonial-collaterals half is fully authored (source_evidence RI-000142/000143, negative_result RI-000144; two NEW sources registered, boston-record-commissioners-fourth-report-1880 and records-first-church-dorchester-1891, alongside the already-registered suffolk-county-court-records-1671-1680-csm-29-30 and nehgr-13-abstracts-of-early-wills-1859). [G4 2026-07-11] The cross-cutting false-friends-registry destination is now built at research/topics/gurney-false-friends-registry.md ('Dorchester GURNELL' entry), which cites the same sources and cross-references RI-000144 rather than restating it. Row stays PARTIAL only as a formal bookkeeping matter (two destination rows), not because content is missing. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R4,Boston VR 1630-1699: exactly ONE Gurney - Samuel Gurney m. Sarah Shapley (late 1690s),topic,g13-colonial-record-coverage; g13-family-mendon-descendants,assimilated,yes,G13-RI-000181;G13-RI-000196;G13-RI-000197,boston-record-commissioners-ninth-report-1883,,,"[G3 2026-07-11 REVISION] FULLY ASSIMILATED. Record-coverage facet unchanged (RI-000181). The Samuel Gurney descendant-person facet, previously left backlog at g13-family-mendon-descendants, is now assimilated there as source_evidence G13-RI-000196 (the marriage record itself) and open_question G13-RI-000197 (whether this Samuel is John Jr. and Ruth's Mendon-born son, b. 1671 - chronologically clean and unopposed by any rival Samuel Gurney in the record, but not confirmed by any document naming the connection; probable, not proven). RI-000181's own phrasing was softened this revision to 'probably John's grandson' rather than asserted flatly, and the parallel Providence-generation reading in g13-family-colonial-collaterals (RI-000139) was likewise hedged. Row closed."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R5,Immigration-by-association: proposed extension (new association class),topic,g13-origin-wardship-network;g13-identity-assessment,assimilated,,G13-RI-000083;G13-RI-000175,,,,"ASSIMILATED across two increments. The proposed ""Class 4: English patronage/legal network"" association class is the wardship-network finding RI-000083 (2026-07-06); its identity bearing - whether the class explains John's own crossing - is open_question RI-000175 in g13-identity-assessment (2026-07-10), which states plainly that the network attaches to the senior branch and not to him. The non-identity reception-network classes stay in g13-origin-migration-network (RI-000076, RI-000090)."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R6,"Providence early records (vols 1-5,8,11,16): no Gurney; distinct Providence GARNET family",topic,g13-colonial-record-coverage; research/topics/gurney-false-friends-registry.md,assimilated,yes,G13-RI-000183,early-records-town-of-providence,,,"[G3 2026-07-10] Record-coverage facet assimilated into g13-colonial-record-coverage RI-000183 (no Gurney in the early Providence town/probate records; bounds John unrecorded Quinapaug interest, cross-referenced to frontier RI-000030). New source early-records-town-of-providence registered (sources.json v1.17.0 + validation worksheet). [G4 2026-07-11] The Providence-Garnet false-friend facet is now built at research/topics/gurney-false-friends-registry.md ('Providence GARNET' entry), cross-referencing RI-000183 and the Providence John-and-Sarah-Gurney companion rather than restating them. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R7,Warford: negative in Venn and Foster; CCEd is the remaining route,topic,g13-origin-wardship-network,assimilated,yes,G13-RI-000085,alumni-cantabrigienses-venn;foster-alumni-oxonienses-1500-1714,,,"Assimilated 2026-07-06 into g13-origin-wardship-network as open_question G13-RI-000085 (Warford unidentified). Venn already registered; Foster registered new (foster-alumni-oxonienses-1500-1714). CCEd (Norwich institutions) remains the open lead, noted in the item and prose."
sources/intake/dump-files/Old dumps/dump-2026-07-02-g13-colonial-round3-english-network.md,F-R3.1,Muskett read (W1): Gurdon-of-Assington pedigree grounds the ward-line network; no Gurney in Muskett,topic,g13-origin-wardship-network,assimilated,yes,G13-RI-000082,muskett-suffolk-manorial-families-v1-1900,,,Assimilated 2026-07-06 into g13-origin-wardship-network as source_evidence G13-RI-000082 (Gurdon-Sedley-Lewkenor puritan matrix). Registered new source muskett-suffolk-manorial-families-v1-1900.
sources/intake/dump-files/Old dumps/dump-2026-07-02-g13-colonial-round3-english-network.md,F-R3.2,"Will of Martha Heigham of Denham, 1591 (PCC 55 Nevell): Martha Lewkenor named; Denham puritan matrix",topic,g13-origin-wardship-network; g13-identity-assessment,assimilated,no,G13-RI-000082;G13-RI-000175,muskett-suffolk-manorial-families-v1-1900,,,"[G3 2026-07-11 REVISION] CLOSED by annotation - genuinely subsumed, no new item authored. Re-read RI-000175 (g13-identity-assessment) and the wardship-network unit's own Muskett/Martha-Heigham material (RI-000082) together: RI-000175 already states plainly that no record connects John to the senior branch's Court-of-Wards/puritan-matrix network, which is precisely the Candidate-B question this row was held for. The will's own content (Martha Lewkenor among the Denham/Heigham daughters, the Emmanuel College scholarship, the Geneva Bible to Denham church) is fully carried in RI-000082 via muskett-suffolk-manorial-families-v1-1900 (already registered); nothing in the will itself bears on Candidate B beyond what RI-000175 already answers. Destination corrected: the identity-side home is g13-identity-assessment (RI-000175), not g13-identity-candidate-b, which does not discuss this will at all. Row closed."
sources/intake/dump-files/Old dumps/dump-2026-07-02-g13-colonial-round3-english-network.md,F-R3.3,Winthrop Papers I (W2): letter at p.363; editors did not identify Warford or Mrs. Gurny; second Gurdon Wards petition,topic,g13-origin-wardship-network,assimilated,yes,G13-RI-000080;G13-RI-000085,mhs-winthrop-papers-gurdon-to-winthrop-1627,,,"Assimilated 2026-07-06 into g13-origin-wardship-network as source_evidence G13-RI-000080 (the 1627 Gurdon-Winthrop letter, cited at I:363 / PWF01d256) and open_question G13-RI-000085 (Warford). Registered new source mhs-winthrop-papers-gurdon-to-winthrop-1627."
sources/intake/dump-files/Old dumps/dump-2026-07-02-g13-colonial-round3-english-network.md,F-R3.4,"Boston 9th report year block CONFIRMED 1693 (W7): Samuel Gurney x Sarah Shapley, 26 Oct 1693",topic,g13-colonial-record-coverage; g13-family-mendon-descendants,assimilated,yes,G13-RI-000181;G13-RI-000196;G13-RI-000197,boston-record-commissioners-ninth-report-1883,,,"[G3 2026-07-11 REVISION] FULLY ASSIMILATED alongside F-R4 (same underlying record). The 1693 year-block confirmation remains in RI-000181 (record-coverage). The Samuel x Shapley descendant-marriage datum, previously backlog, is now assimilated into g13-family-mendon-descendants as source_evidence G13-RI-000196 and open_question G13-RI-000197 (probable, not proven, identification with John Jr. and Ruth's Mendon-born son). Row closed."
sources/intake/dump-files/Old dumps/dump-2026-07-02-g13-colonial-round3-english-network.md,F-R3.5,"Dedham: ""Goodman Gurney of Dorchester, a Tanner"" (2 Jan 1670/1) - the Dorchester Gurnell figure with occupation",cross-cutting,research/topics/gurney-false-friends-registry.md,routed,yes,,early-records-town-of-dedham-vol4-1894,,,"[G4 2026-07-11] Routed to the false-friends registry ('Dorchester GURNELL' entry): Dedham's own 2 Jan 1670/1 town-meeting entry is a fourth independent witness to the Dorchester Gurnell false friend, adding the tanner-occupation discriminator (John G13 was a tailor, not a tanner). NEW source early-records-town-of-dedham-vol4-1894 registered (sources.json v1.20.0 + validation worksheet). Cross-referenced to the existing g13-family-colonial-collaterals resolution (RI-000144), not duplicated there."
